ID,Rep,C,N
ANrf_1_0-10,1,9.641314507,0.506671369
ANrf_1_10-20,1,9.17920208,0.491175681
ANrf_1_20-30,1,6.483640194,0.422713161
ANrf_1_30-40,1,5.777675629,0.35759005
ANrf_1_40-50,3,4.460030397,0.29731227
ANrf_1_50-60,1,4.209893227,0.270835221
ANrf_2_0-10,1,13.49341202,0.64782846
ANrf_2_10-20,1,6.562215328,0.386313558
ANrf_2_20-30,1,5.349358082,0.320236146
ANrf_2_30-40,1,4.718671799,0.284536123
ANrf_2_40-50,1,5.291767597,0.325560957
ANrf_2_50-60,1,6.145017624,0.338256538
ANrf_3_0-10,1,13.35281086,0.686676264
ANrf_3_10-20,1,9.968203545,0.529442012
ANrf_3_20-30,1,4.735425472,0.275385648
ANrf_3_30-40,1,6.374379635,0.352693915
ANrf_3_40-50,1,4.982828617,0.286360443
GRpp_1_0-10,1,8.761907578,0.30537048
GRpp_1_10-20,1,4.394499302,0.160481408
GRpp_1_20-30,1,2.709640503,0.104683921
GRpp_1_30-40,1,1.345690608,0.054347765
GRpp_1_40-50,1,0.940698266,0.045438774
GRpp_1_50-60,1,0.259445459,0.021163225
GRpp_1_60-70,1,0.247542396,0.020688796
GRpp_1_70-80,1,0.19673124,0.015721651
GRpp_2_0-10,1,3.246850491,0.138177186
GRpp_2_10-20,1,2.200061321,0.095743015
GRpp_2_20-30,1,0.674578905,0.034817282
GRpp_2_30-40,1,0.654764831,0.035803601
GRpp_2_40-50,1,0.394025981,0.029323878
GRpp_2_50-60,3,0.323622197,0.027880922
GRpp_2_60-70,1,0.387962639,0.030314669
GRpp_2_70-80,1,0.601232469,0.030800503
GRpp_3_0-10,1,2.998638153,0.122779749
GRpp_3_10-20,1,8.057385445,0.355762213
GRpp_3_20-30,1,1.5141927,0.060338173
GRpp_3_30-40,1,0.83012414,0.039510462
GRpp_3_40-50,1,0.779274762,0.033548005
GRpp_3_50-60,1,0.540050328,0.027678024
GRpp_3_60-70,1,0.35013172,0.019741695
GRpp_3_70-80,1,0.236282095,0.016257996
GRrf_1_0-10,3,5.861338933,0.109589872
GRrf_1_10-20,1,2.081543446,0.047281511
GRrf_1_20-30,1,1.227039695,0.043773904
GRrf_1_30-40,1,2.253403187,0.056133449
GRrf_1_40-50,1,0.830543518,0.022385133
GRrf_1_50-60,1,0.217969269,0.012117572
GRrf_2_0-10,1,6.394199848,0.171296552
GRrf_2_10-20,1,1.524313688,0.048831284
GRrf_2_20-30,1,0.771966517,0.029014755
GRrf_2_30-40,1,0.554664552,0.025549481
GRrf_2_40-50,1,0.385969132,0.021160506
GRrf_2_50-60,1,0.759542584,0.02627469
GRrf_2_60-70,1,0.223938197,0.013325458
GRrf_3_0-10,1,1.903409839,0.077004097
GRrf_3_10-20,3,1.080904524,0.037871706
GRrf_3_20-30,1,0.948205471,0.03327949
GRrf_3_30-40,1,0.711479962,0.02810977
GRrf_3_40-50,1,0.57594955,0.021673448
GRrf_3_50-60,1,0.448310077,0.017753886
GRrf_3_60-70,1,0.103920147,0.007665285
GRwf_1_0-10,1,2.302131414,0.151091978
GRwf_1_10-20,1,0.861249149,0.051792566
GRwf_1_20-30,1,0.916954398,0.047477588
GRwf_1_30-40,1,0.583446383,0.034613315
GRwf_1_40-50,1,0.662562013,0.042127758
GRwf_1_50-60,1,0.596539199,0.040559616
GRwf_1_60-70,1,0.60853672,0.039356783
GRwf_1_70-80,1,0.461778253,0.02862487
GRwf_1_80-90,1,0.317149669,0.022067145
GRwf_2_0-10,3,4.590441863,0.162658979
GRwf_2_10-20,1,5.183546543,0.190200925
GRwf_2_20-30,1,4.165315151,0.153799534
GRwf_2_30-40,1,2.061589241,0.086181261
GRwf_2_40-50,1,1.541880846,0.071938425
GRwf_2_50-60,1,1.225002646,0.057402167
GRwf_2_60-70,1,1.150319815,0.055530392
GRwf_2_70-80,1,1.215050578,0.052936845
GRwf_2_80-90,1,0.755698085,0.039880648
GRwf_3_0-10,1,2.216273308,0.088472612
GRwf_3_10-20,1,0.916520119,0.033919133
GRwf_3_20-30,1,0.934888422,0.035217319
GRwf_3_30-40,1,0.780048728,0.02351149
GRwf_3_40-50,1,0.752204359,0.022740152
GRwf_3_50-60,1,0.369361132,0.017333651
GRwf_3_60-70,3,0.101221087,0.007527703
