ID,rep,C,N
ANpp_1_0-10,1,4.367490292,0.173203111
ANpp_1_10-20,1,3.30130887,0.1292613
ANpp_1_20-30,1,3.100423574,0.135161087
ANpp_1_30-40,1,2.062582254,0.092924908
ANpp_1_40-50,1,1.380643487,0.064051293
ANpp_1_50-60,1,1.250985742,0.057783891
ANpp_1_60-70,1,0.853961229,0.048047625
ANpp_1_70-80,1,0.725087583,0.043378752
ANpp_2_0-10,1,4.759168148,0.200625375
ANpp_2_10-20,1,2.860463619,0.118404634
ANpp_2_20-30,1,2.345909834,0.089630045
ANpp_2_30-40,1,1.578901768,0.075115718
ANpp_2_40-50,1,1.266376972,0.062755153
ANpp_2_50-60,3,1.18788894,0.064226267
ANpp_2_60-70,1,0.947530568,0.052928519
ANpp_2_70-80,1,0.730365217,0.043986529
ANpp_3_0-10,1,4.820449352,0.171862051
ANpp_3_10-20,1,3.168356657,0.120595805
ANpp_3_20-30,1,1.356293201,0.071001008
ANpp_3_30-40,1,0.759573102,0.053272989
ANpp_3_40-50,1,0.945894122,0.057701308
ANpp_3_50-60,1,2.528544188,0.087008141
ANpp_3_60-70,1,1.331856728,0.052299298
ANpp_3_70-80,1,0.491810143,0.033722136
ANrf_3_50-60,1,4.614400387,0.274627447
ANwf_1_0-10,1,8.831448555,0.400713384
ANwf_1_10-20,3,6.8318367,0.334659139
ANwf_1_20-30,1,6.500755787,0.322460979
ANwf_1_30-40,1,5.301818371,0.271980584
ANwf_1_40-50,1,5.730783463,0.312479377
ANwf_1_50-60,1,5.502676487,0.304762214
ANwf_2_0-10,1,8.60512352,0.351741135
ANwf_2_10-20,1,9.102032661,0.388754755
ANwf_2_20-30,1,8.015206337,0.372105271
ANwf_2_30-40,1,6.225191593,0.31756267
ANwf_2_40-50,1,5.806462288,0.305507898
ANwf_2_50-60,1,5.773354053,0.283787459
ANwf_3_0-10,1,9.289868355,0.371974111
ANwf_3_10-20,1,9.274254799,0.371393114
ANwf_3_20-30,1,7.958106041,0.370580703
ANwf_3_30-40,1,8.233636856,0.339446306
ANwf_3_40-50,3,7.43913126,0.404003123
ANwf_3_50-60,1,7.570653439,0.412106097
BSrf_1_0-10,1,3.91404748,0.18151997
BSrf_1_10-20,1,1.805420756,0.093645938
BSrf_1_20-30,1,1.626725435,0.086719662
BSrf_1_30-40,1,2.048067331,0.091605917
BSrf_1_40-50,3,1.444960515,0.074379317
BSrf_1_50-60,1,1.504986763,0.079542741
BSrf_1_60-70,1,1.098078966,0.058868542
BSrf_2_0-10,1,1.16053319,0.059598789
BSrf_2_10-20,1,1.48981142,0.057709478
BSrf_2_20-30,1,2.044677258,0.072839439
BSrf_2_30-40,1,1.627333403,0.06682492
BSrf_2_40-50,1,1.147088766,0.04849587
BSrf_2_50-60,1,1.008376002,0.045089666
BSrf_2_60-70,1,0.719500363,0.034164201
BSrf_2_70-80,1,0.862909853,0.037886292
BSrf_3_0-10,1,3.166959047,0.156542212
BSrf_3_10-20,1,1.287639141,0.055346671
BSrf_3_20-30,1,1.625082135,0.073251434
BSrf_3_30-40,1,1.843142867,0.072867855
BSrf_3_40-50,3,1.547340115,0.061013853
BSrf_3_50-60,1,1.002867341,0.04524089
BSrf_3_60-70,1,0.383505881,0.020875448
BSrf_3_70-80,1,0.889264703,0.037836704
BSwf_1_0-10,1,5.744165897,0.305158108
BSwf_1_10-20,1,2.823509932,0.147031069
BSwf_1_20-30,1,1.871093512,0.109094307
BSwf_1_30-40,1,1.332900286,0.079020813
BSwf_1_40-50,1,1.088727474,0.065998778
BSwf_1_50-60,1,1.298020601,0.068896733
BSwf_1_60-70,1,0.723695338,0.049277708
BSwf_2_0-10,1,4.824864864,0.232458532
BSwf_2_10-20,1,2.815598726,0.148710415
BSwf_2_20-30,1,2.038897991,0.115164042
BSwf_2_30-40,1,1.610434413,0.090944722
BSwf_2_40-50,3,1.26165541,0.075708851
BSwf_2_50-60,1,1.484646678,0.080292471
BSwf_2_60-70,1,1.004702687,0.062582843
BSwf_3_0-10,1,6.700537682,0.279764861
BSwf_3_10-20,1,2.754690886,0.125359386
BSwf_3_20-30,1,1.859481215,0.089956768
BSwf_3_30-40,1,1.560116649,0.082116187
BSwf_3_40-50,1,1.151812196,0.061756589
BSwf_3_50-60,1,0.849369287,0.050768733
BSwf_3_60-70,1,0.56063807,0.039925121
