SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
27_16_ANpp_comp_0-6_2001_a,ANpp,ANpp_0-6_2001_a,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,4.01
28_16_ANpp_comp_0-6_2001_b,ANpp,ANpp_0-6_2001_b,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,3.51
29_17_ANpp_comp_6-13_2001_a,ANpp,ANpp_6-13_2001_a,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,2.19
30_17_ANpp_comp_6-13_2001_b,ANpp,ANpp_6-13_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,2.33
31_18_ANpp_comp_13-33_2001_a,ANpp,ANpp_13-33_2001_a,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,0.91
32_18_ANpp_comp_13-33_2001_b,ANpp,ANpp_13-33_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,0.77
33_19_BSrf_comp_0-8_2001_a,BSrf,BSrf_0-8_2001_a,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,4.55
34_19_BSrf_comp_0-8_2001_b,BSrf,BSrf_0-8_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,3.82
35_20_BSrf_comp_8-15_2001_a,BSrf,BSrf_8-15_2001_a,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,1.40
36_20_BSrf_comp_8-15_2001_b,BSrf,BSrf_8-15_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,1.08
37_21_BSrf_comp_15-30_2001_a,BSrf,BSrf_15-30_2001_a,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,1.17
38_21_BSrf_comp_15-30_2001_b,BSrf,BSrf_15-30_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,1.40
39_22_BSwf_comp_0-10_2001_a,BSwf,BSwf_0-10_2001_a,8.1,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,3.81
40_22_BSwf_comp_0-10_2001_b,BSwf,BSwf_0-10_2001_b,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,3.06
41_23_BSwf_comp_10-19_2001_a,BSwf,BSwf_10-19_2001_a,8.0,1,2001_Inc_01.12.20,,44165.4375,2020,11,30.4,44166.47917,2020,12,1.5,1.0,2.05
