SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_a,15.6,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.81045938
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_a,15.8,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.473072992
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_a,15.5,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.360752213
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_a,15.4,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.304210784
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_a,15.3,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.92016408
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_a,15.3,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.90651229
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_a,15.46,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.958721741
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_a,15.5,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.868253963
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_a,15.4,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,0.76868102
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_a,15.3,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.197742979
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_a,15.4,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.188540106
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_a,15.8,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.456270619
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_a,15.07,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.312627849
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_a,14.9,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.60460476
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_a,15.6,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.83088441
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_a,15.58,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,2.085017294
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_a,15.5,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.318144231
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_a,15.8,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.292070201
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_a,15.8,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.072841332
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_a,15.8,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.461076458
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_a,15.4,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.737268863
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_a,15.35,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.218992865
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_a,15.1,1,2019_Inc_13.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.808425814
