SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_b,15.61,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.419335599
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_b,15.8,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,0.698407409
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_b,15.54,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,0.495546499
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_b,15.46,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.737521902
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_b,15.31,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.256493709
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_b,15.31,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.016544906
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_b,15.46,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,3.18493658
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_b,15.53,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.86583626
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_b,15.42,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.12208819
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_b,15.36,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.756717025
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_b,15.43,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.61633401
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_b,15.83,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.727154437
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_b,15.01,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.033055974
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_b,14.92,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.286398634
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_b,15.6,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.498338857
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_b,15.6,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.685326006
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_b,15.5,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.740218737
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_b,15.82,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.729986627
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_b,15.86,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.372545615
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_b,15.82,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.618300655
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_b,15.45,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.800967851
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_b,15.37,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.439469256
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_b,15.11,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.020077257
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_b,15.31,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.317006192
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_b,15.38,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,2.327431752
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_b,15.06,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.966754489
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_b,15.42,1,2019_IncRep_09.07.20,,44020.5,2020,7,8.5,44021.47917,2020,7,9.479166667,0.979166667,1.188732213
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_b,15.61,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.419335599
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_b,15.8,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,0.698407409
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_b,15.54,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,0.495546499
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_b,15.46,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.737521902
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_b,15.31,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.256493709
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_b,15.31,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.016544906
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_b,15.46,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,3.18493658
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_b,15.53,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,2.86583626
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_b,15.42,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.12208819
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_b,15.36,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.756717025
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_b,15.43,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.61633401
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_b,15.83,2,2019_IncRep_10.07.20,,44020.5,2020,7,8.5,44022.47917,2020,7,10.47916667,1.979166667,1.727154437
