site_name,flx_name,flx_obs_date_y,flx_obs_date_m,flx_obs_date_d,flx_pathway,flx_pathway_note,flx_analyte,flx_ecosystem_component,flx_method,flx_rate,flx_rate_units,flx_13c,flx_rc_lab,flx_rc_year,flx_14c
Trumbore Chiquito,C_19911022_1,1991,10,22,,,CO2,atmosphere,chamber,,,-10.576,CAMS,1991,114.3
Trumbore Chiquito,C_19911022_2,1991,10,22,,,CO2,atmosphere,chamber,,,-10.576,CAMS,1991,
Trumbore Chiquito,C_1991715_1,1991,7,15,,,CO2,atmosphere,chamber,,,-11.311,CAMS,1991,93.1
Trumbore Chiquito,C_1991715_2,1991,7,15,,,CO2,atmosphere,chamber,,,-11.311,CAMS,1991,93.1
Trumbore Chiquito,C_1991715_3,1991,7,15,,,CO2,atmosphere,chamber,,,-11.311,CAMS,1991,93.1
Trumbore Chiquito,C_1991923_,1991,9,23,,,CO2,atmosphere,chamber,,,-10.576,CAMS,1991,70.3
Trumbore Chiquito,C_19941015_1,1994,10,15,soil emission,litter-free surface,CO2,ecosystem,chamber,2.8808,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_19941015_2,1994,10,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.0981,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_19941015_3,1994,10,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,3.82806,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_19941015_4,1994,10,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,1.76252,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_19941015_5,1994,10,15,soil emission,snow-covered,CO2,ecosystem,chamber,0.32526,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_1994815_,1994,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.69778,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_1994915_1,1994,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.04528,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_1994915_2,1994,9,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,2.21566,umol m-2 s-1,,,1994,
Trumbore Chiquito,C_19951023_1,1995,10,23,soil emission,,CO2,ecosystem,chamber,,,-28.6,CAMS,1995,117.6
