									PM					ECO				
0-10 cm						Depth	Year	Type	diff	lwr	upr	p	Pairs	diff	lwr	upr	p	Pairs
2001 bulk PM						0-10 cm	2001	bulk	4.379	-56.547	65.305	0.982	BS-AN	-71.551	-121.237	-21.864	0.004	rf-pp
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs		0-10 cm	2001	bulk	43.41	-17.516	104.336	0.197	GR-AN	-69.714	-117.917	-21.511	0.004	wf-pp
4.379	-56.547	65.305	0.982	BS-AN		0-10 cm	2001	bulk	39.03	-20.077	98.137	0.244	GR-BS	1.837	-47.85	51.523	0.995	wf-rf
43.41	-17.516	104.336	0.197	GR-AN		10-20 cm	2001	bulk	47.238	3.894	90.583	0.031	BS-AN	-31.914	-79.298	15.471	0.232	rf-pp
39.03	-20.077	98.137	0.244	GR-BS		10-20 cm	2001	bulk	45.883	2.539	89.228	0.037	GR-AN	-33.491	-79.461	12.479	0.184	wf-pp
10-20 cm						10-20 cm	2001	bulk	-1.355	-43.406	40.695	0.996	GR-BS	-1.577	-48.962	45.807	0.996	wf-rf
2001 bulk PM						20-30 cm	2001	bulk	56.234	18.509	93.96	0.003	BS-AN	-19.637	-71.547	32.273	0.617	rf-pp
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs		20-30 cm	2001	bulk	66.617	28.891	104.342	0.001	GR-AN	-9.662	-60.022	40.698	0.881	wf-pp
47.238	3.894	90.583	0.031	BS-AN		20-30 cm	2001	bulk	10.382	-26.217	46.981	0.76	GR-BS	9.975	-41.936	61.885	0.881	wf-rf
45.883	2.539	89.228	0.037	GR-AN		0-10 cm	2019	bulk	-41.756	-76.898	-6.613	0.018	AN-GR	-31.5	-65.613	2.613	0.074	wf-rf
-1.355	-43.406	40.695	0.996	GR-BS		0-10 cm	2019	bulk	-9.522	-44.665	25.621	0.779	BS-GR	14.222	-19.89	48.335	0.559	pp-rf
20-30 cm						0-10 cm	2019	bulk	32.233	-2.909	67.376	0.077	BS-AN	45.722	11.61	79.835	0.007	pp-wf
2001 bulk PM						10-20 cm	2019	bulk	-54.667	-106.932	-2.401	0.039	AN-GR	-35.556	-82.679	11.568	0.165	wf-rf
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs		10-20 cm	2019	bulk	-16.478	-68.743	35.788	0.714	BS-GR	35.944	-11.179	83.068	0.159	pp-rf
56.234	18.509	93.96	0.003	BS-AN		10-20 cm	2019	bulk	38.189	-14.077	90.455	0.183	BS-AN	71.5	24.376	118.624	0.002	pp-wf
66.617	28.891	104.342	0.001	GR-AN		20-30 cm	2019	bulk	-35.544	-84.884	13.796	0.191	AN-GR	-58.167	-94.986	-21.348	0.002	wf-rf
10.382	-26.217	46.981	0.76	GR-BS		20-30 cm	2019	bulk	-25.789	-75.129	23.551	0.406	BS-GR	10.767	-26.052	47.586	0.748	pp-rf
0-10 cm						20-30 cm	2019	bulk	9.756	-39.584	59.096	0.875	BS-AN	68.933	32.114	105.752	0	pp-wf
2001 bulk ECO						30-40 cm	2019	bulk	-31.478	-89.509	26.553	0.38	AN-GR	-67.222	-107.865	-26.579	0.001	wf-rf
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs		30-40 cm	2019	bulk	-19.733	-77.765	38.298	0.677	BS-GR	14.578	-26.065	55.221	0.648	pp-rf
-71.551	-121.237	-21.864	0.004	rf-pp		30-40 cm	2019	bulk	11.744	-46.287	69.776	0.869	BS-AN	81.8	41.157	122.443	0	pp-wf
-69.714	-117.917	-21.511	0.004	wf-pp		40-50 cm	2019	bulk	-46.722	-107.064	13.62	0.151	AN-GR	-59.322	-105.522	-13.122	0.01	wf-rf
1.837	-47.85	51.523	0.995	wf-rf		40-50 cm	2019	bulk	-27.589	-87.931	32.753	0.498	BS-GR	28.344	-17.855	74.544	0.294	pp-rf
10-20 cm						40-50 cm	2019	bulk	19.133	-41.209	79.475	0.712	BS-AN	87.667	41.467	133.866	0	pp-wf
2001 bulk ECO						50-60 cm	2019	bulk	-9.289	-72.136	53.558	0.928	AN-GR	-59.622	-114.836	-4.409	0.033	wf-rf
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs		50-60 cm	2019	bulk	-7.044	-69.891	55.802	0.958	BS-GR	-27.478	-82.691	27.736	0.44	pp-rf
-31.914	-79.298	15.471	0.232	rf-pp		50-60 cm	2019	bulk	2.244	-60.602	65.091	0.996	BS-AN	32.144	-23.069	87.358	0.33	pp-wf
-33.491	-79.461	12.479	0.184	wf-pp		0-10 cm	2001	inc	-7.091	-68.515	54.333	0.952	BS-AN	-58.531	-106.031	-11.032	0.015	rf-pp
-1.577	-48.962	45.807	0.996	wf-rf		0-10 cm	2001	inc	-7.601	-69.025	53.823	0.945	GR-AN	-32.971	-80.47	14.529	0.202	wf-pp
20-30 cm						0-10 cm	2001	inc	-0.51	-61.934	60.914	1	GR-BS	25.56	-21.939	73.06	0.367	wf-rf
2001 bulk ECO						10-20 cm	2001	inc	25.162	-43.784	94.108	0.616	BS-AN	-26.847	-110.924	57.23	0.688	rf-pp
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs		10-20 cm	2001	inc	-45.317	-117.628	26.995	0.262	GR-AN	7.508	-72.657	87.672	0.967	wf-pp
-19.637	-71.547	32.273	0.617	rf-pp		10-20 cm	2001	inc	-70.478	-142.789	1.833	0.057	GR-BS	34.355	-49.722	118.432	0.548	wf-rf
-9.662	-60.022	40.698	0.881	wf-pp		20-30 cm	2001	inc	43.367	-56.029	142.763	0.505	BS-AN	4.772	-113.455	123	0.994	rf-pp
9.975	-41.936	61.885	0.881	wf-rf		20-30 cm	2001	inc	-62.697	-166.945	41.55	0.289	GR-AN	60.864	-51.862	173.589	0.361	wf-pp
0-10 cm						20-30 cm	2001	inc	-106.065	-210.312	-1.817	0.046	GR-BS	56.091	-62.136	174.318	0.449	wf-rf
2001 inc PM						0-10 cm	2019	inc	-3.917	-40.999	33.165	0.959	BS-AN	-19.217	-54.416	15.983	0.357	rf-pp
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs		0-10 cm	2019	inc	7.583	-29.499	44.665	0.857	GR-AN	-2.367	-37.566	32.833	0.983	wf-pp
-7.091	-68.515	54.333	0.952	BS-AN		0-10 cm	2019	inc	11.5	-25.582	48.582	0.705	GR-BS	16.85	-18.35	52.05	0.447	wf-rf
-7.601	-69.025	53.823	0.945	GR-AN		10-20 cm	2019	inc	-16.133	-76.6	44.333	0.768	BS-AN	-32.333	-87.289	22.623	0.303	rf-pp
-0.51	-61.934	60.914	1	GR-BS		10-20 cm	2019	inc	-24.507	-87.925	38.911	0.582	GR-AN	-48.617	-101.015	3.782	0.071	wf-pp
10-20 cm						10-20 cm	2019	inc	-8.373	-71.791	55.045	0.937	GR-BS	-16.283	-71.239	38.673	0.724	wf-rf
2001 inc PM						20-30 cm	2019	inc	-36.657	-86.659	13.346	0.17	BS-AN	-14.457	-68.364	39.45	0.766	rf-pp
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs		20-30 cm	2019	inc	-21.283	-68.959	26.392	0.49	GR-AN	-21.933	-73.332	29.465	0.52	wf-pp
25.162	-43.784	94.108	0.616	BS-AN		20-30 cm	2019	inc	15.373	-34.629	65.376	0.706	GR-BS	-7.477	-61.384	46.43	0.93	wf-rf
-45.317	-117.628	26.995	0.262	GR-AN														
-70.478	-142.789	1.833	0.057	GR-BS														
20-30 cm																		
2001 inc PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
43.367	-56.029	142.763	0.505	BS-AN														
-62.697	-166.945	41.55	0.289	GR-AN														
-106.065	-210.312	-1.817	0.046	GR-BS														
0-10 cm																		
2001 inc ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-58.531	-106.031	-11.032	0.015	rf-pp														
-32.971	-80.47	14.529	0.202	wf-pp														
25.56	-21.939	73.06	0.367	wf-rf														
10-20 cm																		
2001 inc ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-26.847	-110.924	57.23	0.688	rf-pp														
7.508	-72.657	87.672	0.967	wf-pp														
34.355	-49.722	118.432	0.548	wf-rf														
20-30 cm																		
2001 inc ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
4.772	-113.455	123	0.994	rf-pp														
60.864	-51.862	173.589	0.361	wf-pp														
56.091	-62.136	174.318	0.449	wf-rf														
0-10 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-41.756	-76.898	-6.613	0.018	AN-GR														
-9.522	-44.665	25.621	0.779	BS-GR														
32.233	-2.909	67.376	0.077	BS-AN														
10-20 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-54.667	-106.932	-2.401	0.039	AN-GR														
-16.478	-68.743	35.788	0.714	BS-GR														
38.189	-14.077	90.455	0.183	BS-AN														
20-30 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-35.544	-84.884	13.796	0.191	AN-GR														
-25.789	-75.129	23.551	0.406	BS-GR														
9.756	-39.584	59.096	0.875	BS-AN														
30-40 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-31.478	-89.509	26.553	0.38	AN-GR														
-19.733	-77.765	38.298	0.677	BS-GR														
11.744	-46.287	69.776	0.869	BS-AN														
40-50 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-46.722	-107.064	13.62	0.151	AN-GR														
-27.589	-87.931	32.753	0.498	BS-GR														
19.133	-41.209	79.475	0.712	BS-AN														
50-60 cm																		
2019 bulk PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-9.289	-72.136	53.558	0.928	AN-GR														
-7.044	-69.891	55.802	0.958	BS-GR														
2.244	-60.602	65.091	0.996	BS-AN														
0-10 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-31.5	-65.613	2.613	0.074	wf-rf														
14.222	-19.89	48.335	0.559	pp-rf														
45.722	11.61	79.835	0.007	pp-wf														
10-20 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-35.556	-82.679	11.568	0.165	wf-rf														
35.944	-11.179	83.068	0.159	pp-rf														
71.5	24.376	118.624	0.002	pp-wf														
20-30 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-58.167	-94.986	-21.348	0.002	wf-rf														
10.767	-26.052	47.586	0.748	pp-rf														
68.933	32.114	105.752	0	pp-wf														
30-40 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-67.222	-107.865	-26.579	0.001	wf-rf														
14.578	-26.065	55.221	0.648	pp-rf														
81.8	41.157	122.443	0	pp-wf														
40-50 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-59.322	-105.522	-13.122	0.01	wf-rf														
28.344	-17.855	74.544	0.294	pp-rf														
87.667	41.467	133.866	0	pp-wf														
50-60 cm																		
2019 bulk ECO																		
ECO.diff	ECO.lwr	ECO.upr	ECO.p.adj	Pairs														
-59.622	-114.836	-4.409	0.033	wf-rf														
-27.478	-82.691	27.736	0.44	pp-rf														
32.144	-23.069	87.358	0.33	pp-wf														
0-10 cm																		
2019 inc PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-3.917	-40.999	33.165	0.959	BS-AN														
7.583	-29.499	44.665	0.857	GR-AN														
11.5	-25.582	48.582	0.705	GR-BS														
10-20 cm																		
2019 inc PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-16.133	-76.6	44.333	0.768	BS-AN														
-24.507	-87.925	38.911	0.582	GR-AN														
-8.373	-71.791	55.045	0.937	GR-BS														
20-30 cm																		
2019 inc PM																		
PM.diff	PM.lwr	PM.upr	PM.p.adj	Pairs														
-36.657	-86.659	13.346	0.17	BS-AN														
-21.283	-68.959	26.392	0.49	GR-AN														
