"","pro_name","c_pct","depth","PMeco","year","Year","PM","ECO"
"0-10 cm...1","ANpp1",8.32598113843265,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...2","ANpp1",3.35859774521221,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...3","ANpp1",1.99139907945322,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...4","ANpp2",6.75101063957485,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...5","ANpp2",3.04593175809059,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...6","ANpp2",2.19864239741874,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...7","ANpp3",9.03925308289338,"0-10","ANpp",2001,"2001","AN","warm"
"10-20 cm...8","ANpp3",5.03107161021315,"10-20","ANpp",2001,"2001","AN","warm"
"20-30 cm...9","ANpp3",3.65139988940978,"20-30","ANpp",2001,"2001","AN","warm"
"0-10 cm...10","ANrf1",12.9023162980863,"0-10","ANrf",2001,"2001","AN","cold"
"10-20 cm...11","ANrf1",5.45317062690341,"10-20","ANrf",2001,"2001","AN","cold"
"20-30 cm...12","ANrf1",0.45929767522129,"20-30","ANrf",2001,"2001","AN","cold"
"0-10 cm...13","ANrf3",6.44640255960195,"0-10","ANrf",2001,"2001","AN","cold"
"10-20 cm...14","ANrf3",4.32756052541251,"10-20","ANrf",2001,"2001","AN","cold"
"20-30 cm...15","ANrf3",2.8294903450553,"20-30","ANrf",2001,"2001","AN","cold"
"0-10 cm...16","ANwf1",8.12894822497289,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...17","ANwf1",8.3880504888189,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...18","ANwf1",8.58675431111531,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...19","ANwf2",8.19016912734667,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...20","ANwf2",7.46193035570612,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...21","ANwf2",6.90344883060673,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...22","ANwf3",8.8648611796604,"0-10","ANwf",2001,"2001","AN","cool"
"10-20 cm...23","ANwf3",8.50783830057428,"10-20","ANwf",2001,"2001","AN","cool"
"20-30 cm...24","ANwf3",8.23403980237264,"20-30","ANwf",2001,"2001","AN","cool"
"0-10 cm...25","BSpp1",5.06731063195207,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...26","BSpp1",2.62358079717354,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...27","BSpp1",1.56228595484976,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...28","BSpp2",7.01610281575281,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...29","BSpp2",2.6130736795001,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...30","BSpp2",1.31515375852371,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...31","BSpp3",6.31564377693955,"0-10","BSpp",2001,"2001","BS","warm"
"10-20 cm...32","BSpp3",3.51228464085516,"10-20","BSpp",2001,"2001","BS","warm"
"20-30 cm...33","BSpp3",1.83963599751337,"20-30","BSpp",2001,"2001","BS","warm"
"0-10 cm...34","BSrf1",10.2708175883844,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...35","BSrf1",1.99103199935575,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...36","BSrf1",1.15226797847746,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...37","BSrf2",9.89741456226939,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...38","BSrf2",1.69666897604915,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...39","BSrf2",1.80670157490519,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...40","BSrf3",11.7185521398184,"0-10","BSrf",2001,"2001","BS","cold"
"10-20 cm...41","BSrf3",1.54898374248053,"10-20","BSrf",2001,"2001","BS","cold"
"20-30 cm...42","BSrf3",1.34705734341258,"20-30","BSrf",2001,"2001","BS","cold"
"0-10 cm...43","BSwf1",9.05858571684354,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...44","BSwf1",3.39619903952721,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...45","BSwf1",1.94591328825635,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...46","BSwf2",6.4655930137433,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...47","BSwf2",2.53233338129552,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...48","BSwf2",1.80502369897728,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...49","BSwf3",11.0142763445766,"0-10","BSwf",2001,"2001","BS","cool"
"10-20 cm...50","BSwf3",3.09167102319464,"10-20","BSwf",2001,"2001","BS","cool"
"20-30 cm...51","BSwf3",1.90862488157774,"20-30","BSwf",2001,"2001","BS","cool"
"0-10 cm...52","GRpp1",5.78332978690731,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...53","GRpp1",1.57809536558303,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...54","GRpp1",0.480980046088428,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...55","GRpp2",6.3435713298098,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...56","GRpp2",3.61718606536281,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...57","GRpp2",1.02237741448976,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...58","GRpp3",4.85472879640333,"0-10","GRpp",2001,"2001","GR","warm"
"10-20 cm...59","GRpp3",1.14350757645039,"10-20","GRpp",2001,"2001","GR","warm"
"20-30 cm...60","GRpp3",0.71499220466148,"20-30","GRpp",2001,"2001","GR","warm"
"0-10 cm...61","GRrf1",2.61387343174942,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...62","GRrf1",1.07227848037391,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...63","GRrf1",0.661024486895103,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...64","GRrf2",4.66562237490199,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...65","GRrf2",1.21415334976066,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...66","GRrf2",1.52706170455405,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...67","GRrf3",3.53888780581179,"0-10","GRrf",2001,"2001","GR","cold"
"10-20 cm...68","GRrf3",1.18889710349629,"10-20","GRrf",2001,"2001","GR","cold"
"20-30 cm...69","GRrf3",1.24288798640619,"20-30","GRrf",2001,"2001","GR","cold"
"0-10 cm...70","GRwf1",5.33321732940612,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...71","GRwf1",1.89949873020755,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...72","GRwf1",0.660369973206676,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...73","GRwf2",3.44221290682464,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...74","GRwf2",1.47384580721697,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...75","GRwf2",1.76780605352811,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...76","GRwf3",5.85397908713118,"0-10","GRwf",2001,"2001","GR","cool"
"10-20 cm...77","GRwf3",1.90866153867369,"10-20","GRwf",2001,"2001","GR","cool"
"20-30 cm...78","GRwf3",1.36548526522191,"20-30","GRwf",2001,"2001","GR","cool"
"0-10 cm...11","ANpp_1",8.22872560641776,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...21","ANpp_1",2.06020634186142,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...31","ANpp_1",1.90255987043637,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...41","ANpp_2",3.85094382803518,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...51","ANpp_2",2.96244062419541,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...61","ANpp_2",2.16138339327283,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...71","ANpp_3",9.37929209534627,"0-10","ANpp",2009,"2009","AN","warm"
"10-20 cm...81","ANpp_3",1.92885066829486,"10-20","ANpp",2009,"2009","AN","warm"
"20-30 cm...91","ANpp_3",2.26643060127235,"20-30","ANpp",2009,"2009","AN","warm"
"0-10 cm...101","ANrf_1",6.63280177958218,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...111","ANrf_1",4.51257102289178,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...121","ANrf_1",4.13395005765452,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...131","ANrf_2",5.50372660570047,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...141","ANrf_2",4.34997877713309,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...151","ANrf_2",3.49042629050749,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...161","ANrf_3",4.97998629924996,"0-10","ANrf",2009,"2009","AN","cold"
"10-20 cm...171","ANrf_3",4.23789125595621,"10-20","ANrf",2009,"2009","AN","cold"
"20-30 cm...181","ANrf_3",3.60964709956691,"20-30","ANrf",2009,"2009","AN","cold"
"0-10 cm...191","ANwf_1",7.35548774033891,"0-10","ANwf",2009,"2009","AN","cool"
"10-20 cm...201","ANwf_1",4.7372106140811,"10-20","ANwf",2009,"2009","AN","cool"
"20-30 cm...211","ANwf_1",5.53892974286673,"20-30","ANwf",2009,"2009","AN","cool"
"0-10 cm...221","ANwf_2",9.26579867652585,"0-10","ANwf",2009,"2009","AN","cool"
"10-20 cm...231","ANwf_2",7.41519531714961,"10-20","ANwf",2009,"2009","AN","cool"
"20-30 cm...241","ANwf_2",5.68719623940598,"20-30","ANwf",2009,"2009","AN","cool"
