"","PMeco","fm","lyr_bot","pro_rep","Year","PM","ECO","Al_ox","Al_py","Fe_dc","Fe_ox","year","d14c"
"1","ANpp",0.9976,10,"1",2019,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,19,-10.6922418427225
"2","ANpp",1.0172,10,"2",2019,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,19,8.74483921169089
"3","ANpp",1.0004,10,"3",2019,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,19,-7.91551597780638
"4","ANpp",0.9703,20,"1",2019,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,19,-37.7653190256552
"5","ANpp",0.9675,20,"2",2019,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,19,-40.5420448905714
"6","ANpp",0.9954,20,"3",2019,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,19,-12.8739550222996
"7","ANpp",0.9765,30,"1",2019,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,19,-31.6168546104837
"8","ANpp",0.9955,30,"2",2019,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,19,-12.7747862414096
"9","ANpp",0.9837,30,"3",2019,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,19,-24.4767023864135
"10","ANrf",1.0008,10,"1",2019,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,19,-7.51884085424703
"11","ANrf",1.049,10,"2",2019,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,19,40.2805115346672
"12","ANrf",1.0326,10,"3",2019,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,19,24.0168314687297
"13","ANrf",0.9765,20,"1",2019,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,19,-31.6168546104837
"14","ANrf",0.98,20,"2",2019,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,19,-28.1459472793385
"15","ANrf",1.0031,20,"3",2019,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,19,-5.23795889377998
"16","ANrf",0.9553,30,"1",2019,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,19,-52.6406361591347
"17","ANrf",0.9861,30,"2",2019,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,19,-22.0966516450569
"18","ANrf",0.9688,30,"3",2019,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,19,-39.2528507390032
"19","ANwf",1.0187,10,"1",2019,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,19,10.2323709250385
"20","ANwf",0.9611,10,"2",2019,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,19,-46.8888468675227
"21","ANwf",0.9754,10,"3",2019,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,19,-32.7077112002722
"22","ANwf",0.9544,20,"1",2019,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,19,-53.5331551871435
"23","ANwf",0.9447,20,"2",2019,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,19,-63.1525269334603
"24","ANwf",0.9691,20,"3",2019,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,19,-38.9553443963336
"25","ANwf",0.9336,30,"1",2019,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,19,-74.1602616122351
"26","ANwf",0.9232,30,"2",2019,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,19,-84.4738148247809
"27","ANwf",0.9246,30,"3",2019,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,19,-83.0854518923229
"28","BSpp",1.0651,10,"1",2019,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,19,56.2466852579353
"29","BSpp",1.063,10,"2",2019,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,19,54.1641408592481
"30","BSpp",1.0579,10,"3",2019,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,19,49.1065330338651
"31","BSpp",1.04,20,"1",2019,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,19,31.3553212545796
"32","BSpp",1.0389,20,"2",2019,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,19,30.2644646647909
"33","BSpp",1.0438,20,"3",2019,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,19,35.1237349283944
"34","BSpp",0.9522,30,"1",2019,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,19,-55.7148683667205
"35","BSpp",0.9727,30,"2",2019,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,19,-35.3852682842986
"36","BSpp",1.0324,30,"3",2019,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,19,23.8184939069499
"37","BSrf",1.0151,10,"1",2019,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,19,6.66229481300351
"38","BSrf",1.0407,10,"2",2019,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,19,32.0495027208085
"39","BSrf",1.0756,10,"3",2019,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,19,66.6594072513709
"40","BSrf",1.0419,20,"1",2019,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,19,33.239528091487
"41","BSrf",1.0335,20,"2",2019,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,19,24.9093504967386
"42","BSrf",1.0133,20,"3",2019,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,19,4.87725675698614
"43","BSrf",1.0174,30,"1",2019,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,19,8.94317677347045
"44","BSrf",1.0043,30,"2",2019,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,19,-4.04793352310173
"45","BSrf",1.0286,30,"3",2019,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,19,20.0500802331351
"46","BSwf",1.0227,10,"1",2019,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,19,14.199122160633
"47","BSwf",0.9839,10,"2",2019,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,19,-24.2783648246339
"48","BSwf",1.0212,10,"3",2019,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,19,12.7115904472854
"49","BSwf",0.9382,20,"1",2019,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,19,-69.5984976913014
"50","BSwf",0.9595,20,"2",2019,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,19,-48.4755473617605
"51","BSwf",0.9988,20,"3",2019,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,19,-9.50221647204419
"52","BSwf",0.9001,30,"1",2019,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,19,-107.381803210339
"53","BSwf",0.9363,30,"2",2019,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,19,-71.4827045282088
"54","BSwf",0.8918,30,"3",2019,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,19,-115.612812024198
"55","GRpp",1.0626,10,"1",2019,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,19,53.7674657356886
"56","GRpp",1.1023,10,"2",2019,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,19,93.1374717489646
"57","GRpp",1.0918,10,"3",2019,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,19,82.7247497555288
"58","GRpp",1.0662,20,"1",2019,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,19,57.3375418477238
"59","GRpp",1.0964,20,"2",2019,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,19,87.2865136764624
"60","GRpp",1.1487,20,"3",2019,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,19,139.151786081861
"61","GRpp",1.0548,30,"1",2019,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,19,46.0323008262793
"62","GRpp",1.0064,30,"2",2019,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,19,-1.96538912441457
"63","GRpp",1.0512,30,"3",2019,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,19,42.4622247142441
"64","GRrf",1.0232,10,"1",2019,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,19,14.6949660650826
"65","GRrf",1.0584,10,"2",2019,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,19,49.6023769383145
"66","GRrf",1.0334,10,"3",2019,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,19,24.8101817158486
"67","GRrf",1.0089,20,"1",2019,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,19,0.513830397831816
"68","GRrf",0.9902,20,"2",2019,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,19,-18.0307316285725
"69","GRrf",0.9935,20,"3",2019,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,19,-14.7581618592069
"70","GRrf",0.9947,30,"1",2019,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,19,-13.5681364885286
"71","GRrf",0.9842,30,"2",2019,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,19,-23.9808584819643
