"","PM","ECO","lyr_bot","d14c","rep","Year","Al_ox","Al_py","Fe_dc","Fe_ox","year"
"1","andesite","warm",10,140.614282112189,"a",2001,15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,1
"2","andesite","warm",20,59.2733090483479,"a",2001,16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,1
"3","andesite","warm",30,-38.4056025976699,"a",2001,15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,1
"4","andesite","cold",10,114.357475064758,"a",2001,31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,1
"5","andesite","cold",20,53.2972882721947,"a",2001,34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,1
"6","andesite","cold",30,9.13426008889484,"a",2001,34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,1
"7","andesite","cool",10,93.712029920187,"a",2001,31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,1
"8","andesite","cool",20,85.8926688697959,"a",2001,36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,1
"9","andesite","cool",30,79.7222887211877,"a",2001,38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,1
"10","basalt","warm",10,114.171986356912,"a",2001,8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,1
"11","basalt","warm",20,74.0790089569689,"a",2001,8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,1
"12","basalt","warm",30,10.3073832040927,"a",2001,7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,1
"13","basalt","cold",10,106.052647505045,"a",2001,5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,1
"14","basalt","cold",20,100.244333244202,"a",2001,11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,1
"15","basalt","cold",30,108.856880901943,"a",2001,14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,1
"16","basalt","cool",10,100.777184166167,"a",2001,18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,1
"17","basalt","cool",20,97.8271638283839,"a",2001,20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,1
