"","PMeco","depth","pro_rep","Year","PM","ECO","lyr_top","lyr_bot","pro_name","lyr_name","fm","fm_err","d14c","d14c_err","bd_g_cm3","C","N","lyr_soc","lyr_soc_cmtv"
"1...1","ANpp","0-10",1,2019,"AN","pp",0,10,"ANpp_1","ANpp_1_0-10",0.9976,0.003,-10.8,3,1.13844890147272,4.36749029159546,0.173203110694885,4.97216452465963,4.97216452465963
"2...2","ANpp","0-10",2,2019,"AN","pp",0,10,"ANpp_2","ANpp_2_0-10",1.0172,0.0024,8.6,2.4,1.13844890147272,4.75916814804077,0.200625374913216,5.41806975006098,5.41806975006098
"3...3","ANpp","0-10",3,2019,"AN","pp",0,10,"ANpp_3","ANpp_3_0-10",1.0004,0.0023,-8,2.3,1.13844890147272,4.8204493522644,0.171862050890923,5.48783526969029,5.48783526969029
"4...4","ANpp","10-20",1,2019,"AN","pp",10,20,"ANpp_1","ANpp_1_10-20",0.9703,0.0028,-37.9,2.8,1.14986563556186,3.30130887031555,0.129261299967766,3.7960616223514,8.76822614701103
"5...5","ANpp","10-20",2,2019,"AN","pp",10,20,"ANpp_2","ANpp_2_10-20",0.9675,0.003,-40.6,3,1.14986563556186,2.86046361923218,0.118404634296894,3.28914881753,8.70721856759097
"6...6","ANpp","10-20",3,2019,"AN","pp",10,20,"ANpp_3","ANpp_3_10-20",0.9954,0.0028,-12.9,2.8,1.14986563556186,3.1683566570282,0.120595805346966,3.64318444112039,9.13101971081068
"7...7","ANpp","20-30",1,2019,"AN","pp",20,30,"ANpp_1","ANpp_1_20-30",0.9765,0.0026,-31.8,2.6,1.18737301276415,3.10042357444763,0.135161086916924,3.68135928043687,12.4495854274479
"8...8","ANpp","20-30",2,2019,"AN","pp",20,30,"ANpp_2","ANpp_2_20-30",0.9955,0.0028,-12.9,2.8,1.18737301276415,2.34590983390808,0.0896300449967384,2.78547002716048,11.4926885947514
"9...9","ANpp","20-30",3,2019,"AN","pp",20,30,"ANpp_3","ANpp_3_20-30",0.9837,0.0022,-24.6,2.2,1.18737301276415,1.35629320144653,0.0710010081529617,1.6104259447931,10.7414456556038
"10...10","ANpp","30-40",1,2019,"AN","pp",30,40,"ANpp_1","ANpp_1_30-40",0.9464,0.0027,-61.6,2.7,1.22512080649388,2.06258225440979,0.0929249078035355,2.52691243498249,14.9764978624304
"11...11","ANpp","30-40",2,2019,"AN","pp",30,40,"ANpp_2","ANpp_2_30-40",0.9561,0.0027,-52,2.7,1.22512080649388,1.57890176773071,0.0751157179474831,1.93434540705686,13.4270340018083
"12...12","ANpp","30-40",3,2019,"AN","pp",30,40,"ANpp_3","ANpp_3_30-40",0.96,0.0017,-48.1,1.7,1.22512080649388,0.759573101997375,0.0532729886472225,0.930568811310082,11.6720144669139
"13...13","ANpp","40-50",1,2019,"AN","pp",40,50,"ANpp_1","ANpp_1_40-50",0.9189,0.0024,-88.8,2.4,1.26034530538318,1.38064348697662,0.0640512928366661,1.74008753721884,16.7165853996492
"14...14","ANpp","40-50",2,2019,"AN","pp",40,50,"ANpp_2","ANpp_2_40-50",0.9123,0.0018,-95.4,1.8,1.26034530538318,1.26637697219849,0.0627551525831223,1.59607227175573,15.023106273564
